Date,Category,Location,Quantity,UnitPrice,SalesAmount
2023-01-13,Sides,Downtown Branch,4,8,32
2023-01-18,Desserts,Beachside Cafe,4,8,32
2023-01-28,Beverages,Suburban Diner,4,8,32
2023-02-13,Sides,Uptown Bistro,4,8,32
2023-02-26,Sides,Downtown Branch,4,8,32
2023-03-02,Appetizers,Downtown Branch,4,8,32
2023-03-23,Appetizers,Downtown Branch,4,8,32
2023-03-24,Beverages,Suburban Diner,4,8,32
2023-04-01,Beverages,Downtown Branch,4,8,32
2023-04-06,Desserts,Suburban Diner,4,8,32
2023-04-21,Sides,Beachside Cafe,4,8,32
2023-04-23,Appetizers,Beachside Cafe,4,8,32
2023-05-03,Appetizers,Uptown Bistro,4,8,32
2023-05-15,Beverages,Downtown Branch,4,8,32
2023-05-18,Appetizers,Beachside Cafe,4,8,32
2023-06-02,Desserts,Beachside Cafe,4,8,32
2023-06-10,Appetizers,Uptown Bistro,4,8,32
2023-06-15,Appetizers,Uptown Bistro,4,8,32
2023-06-22,Sides,Beachside Cafe,4,8,32
2023-06-23,Sides,Beachside Cafe,4,8,32
2023-07-05,Sides,Beachside Cafe,4,8,32
2023-07-16,Sides,Suburban Diner,4,8,32
2023-07-21,Sides,Beachside Cafe,4,8,32
2023-09-03,Sides,Beachside Cafe,4,8,32
2023-09-11,Appetizers,Beachside Cafe,4,8,32
2023-09-22,Desserts,Uptown Bistro,4,8,32
2023-09-24,Sides,Suburban Diner,4,8,32
2023-09-27,Desserts,Beachside Cafe,4,8,32
2023-09-30,Desserts,Uptown Bistro,4,8,32
2023-10-11,Appetizers,Downtown Branch,4,8,32
2023-10-17,Sides,Suburban Diner,4,8,32
2023-10-24,Sides,Downtown Branch,4,8,32
2023-10-25,Sides,Uptown Bistro,4,8,32
2023-11-01,Beverages,Downtown Branch,4,8,32
2023-11-02,Desserts,Uptown Bistro,4,8,32
2023-11-03,Desserts,Beachside Cafe,4,8,32
2023-11-07,Beverages,Beachside Cafe,4,8,32
2023-11-20,Beverages,Downtown Branch,4,8,32
2023-11-25,Desserts,Beachside Cafe,4,8,32
2023-12-13,Desserts,Suburban Diner,4,8,32
2023-12-13,Appetizers,Beachside Cafe,4,8,32
2023-12-15,Beverages,Suburban Diner,4,8,32
2023-12-19,Appetizers,Suburban Diner,4,8,32
2023-12-24,Desserts,Beachside Cafe,4,8,32
2023-12-29,Desserts,Downtown Branch,4,8,32
2024-01-19,Appetizers,Beachside Cafe,4,8,32
2024-02-29,Desserts,Uptown Bistro,4,8,32
2024-03-18,Desserts,Beachside Cafe,4,8,32
2024-03-22,Appetizers,Uptown Bistro,4,8,32
2024-04-07,Appetizers,Beachside Cafe,4,8,32
2024-04-12,Desserts,Beachside Cafe,4,8,32
2024-04-12,Sides,Beachside Cafe,4,8,32
2024-04-16,Sides,Downtown Branch,4,8,32
2024-04-16,Beverages,Suburban Diner,4,8,32
2024-04-29,Appetizers,Downtown Branch,4,8,32
2024-05-07,Desserts,Suburban Diner,4,8,32
2024-05-08,Appetizers,Downtown Branch,4,8,32
2024-05-19,Beverages,Suburban Diner,4,8,32
2024-05-26,Appetizers,Suburban Diner,4,8,32
2024-06-03,Desserts,Suburban Diner,4,8,32
2024-06-03,Sides,Uptown Bistro,4,8,32
2024-06-08,Sides,Suburban Diner,4,8,32
2024-06-12,Desserts,Suburban Diner,4,8,32
2024-06-18,Appetizers,Beachside Cafe,4,8,32
2024-06-20,Sides,Uptown Bistro,4,8,32
2024-07-01,Sides,Downtown Branch,4,8,32
2024-07-02,Sides,Uptown Bistro,4,8,32
2024-07-04,Beverages,Beachside Cafe,4,8,32
2024-07-08,Desserts,Suburban Diner,4,8,32
2024-07-09,Sides,Downtown Branch,4,8,32
2024-07-16,Sides,Suburban Diner,4,8,32
2024-07-20,Beverages,Beachside Cafe,4,8,32
2024-07-28,Beverages,Uptown Bistro,4,8,32
2024-08-02,Desserts,Beachside Cafe,4,8,32
